title|raw_text|meal_type|cultural_restriction|calories|allergies
 Vegan Breakfast Pita Pockets|"77. Vegan Breakfast Pita Pockets: 150 calories per portion, 2 portions, may contain gluten (check pita bread), Middle East.
"|breakfast|vegan|150.0|
 Vegan Breakfast Steamed Buns|"78. Vegan Breakfast Steamed Buns: 100 calories per portion, 8 portions, may contain gluten (check dough), China.
"|breakfast|vegan|100.0|
 Vegan Breakfast Sushi Burrito|"79. Vegan Breakfast Sushi Burrito: 50 calories per portion, 2 portions, may contain gluten (check seaweed), United States.
"|breakfast|vegan|50.0|
 Vegan Breakfast Baguette|"80. Vegan Breakfast Baguette: 1000 calories per portion, 1 portion, may contain gluten (check baguette), France.

"|breakfast|vegan|1000.0|
 Vegan Breakfast Galette|"81. Vegan Breakfast Galette: 950 calories per portion, 2 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|950.0|
 Vegan Breakfast Shakerato|"82. Vegan Breakfast Shakerato: 900 calories per portion, 1 portion, may contain gluten (check ingredients), Italy.
"|breakfast|vegan|900.0|
 Vegan Breakfast Miso Soup|"83. Vegan Breakfast Miso Soup: 850 calories per portion, 2 portions, contains soy, Japan.
"|breakfast|vegan|850.0|contains soy
 Vegan Breakfast Crostini|"84. Vegan Breakfast Crostini: 800 calories per portion, 3 portions, may contain gluten (check bread), Italy.
"|breakfast|vegan|800.0|
 Vegan Breakfast Stuffed Mushrooms|"85. Vegan Breakfast Stuffed Mushrooms: 750 calories per portion, 2 portions, contains nuts (optional), Worldwide.
"|breakfast|vegan|750.0|contains nuts (optional)
 Vegan Breakfast Dutch Baby Pancake|"86. Vegan Breakfast Dutch Baby Pancake: 700 calories per portion, 1 portion, may contain gluten (check ingredients), Netherlands.
"|breakfast|vegan|700.0|
 Vegan Breakfast Zucchini Bread|"87. Vegan Breakfast Zucchini Bread: 650 calories per portion, 3 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|650.0|
 Vegan Breakfast Biscotti|"88. Vegan Breakfast Biscotti: 600 calories per portion, 4 portions, may contain gluten (check ingredients), Italy.
"|breakfast|vegan|600.0|
 Vegan Breakfast Pesto Pasta|"89. Vegan Breakfast Pesto Pasta: 550 calories per portion, 2 portions, may contain gluten (check pasta), Italy.
"|breakfast|vegan|550.0|
 Vegan Breakfast Croque Madame|"90. Vegan Breakfast Croque Madame: 500 calories per portion, 2 portions, may contain gluten (check bread), France.

"|breakfast|vegan|500.0|
 Vegan Breakfast Muffuletta|"91. Vegan Breakfast Muffuletta: 450 calories per portion, 1 portion, may contain gluten (check bread), United States.
"|breakfast|vegan|450.0|
 Vegan Breakfast Spanakopita|"92. Vegan Breakfast Spanakopita: 400 calories per portion, 3 portions, may contain gluten (check phyllo dough), Greece.
"|breakfast|vegan|400.0|
 Vegan Breakfast Banana Bread|"93. Vegan Breakfast Banana Bread: 350 calories per portion, 8 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|350.0|
 Vegan Breakfast Tiramisu|"94. Vegan Breakfast Tiramisu: 300 calories per portion, 4 portions, may contain gluten (check ingredients), Italy.
"|breakfast|vegan|300.0|
 Vegan Breakfast Bruschetta|"95. Vegan Breakfast Bruschetta: 250 calories per portion, 2 portions, may contain gluten (check bread), Italy.
"|breakfast|vegan|250.0|
 Vegan Breakfast Phyllo Cups|"96. Vegan Breakfast Phyllo Cups: 200 calories per portion, 6 portions, may contain gluten (check phyllo dough), Mediterranean.
"|breakfast|vegan|200.0|
 Vegan Breakfast Fruit Pizza|"97. Vegan Breakfast Fruit Pizza: 150 calories per portion, 4 portions, may contain gluten (check crust), United States.
"|breakfast|vegan|150.0|
 Vegan Breakfast Falafel|"98. Vegan Breakfast Falafel: 100 calories per portion, 4 portions, may contain gluten (check ingredients), Middle East.
"|breakfast|vegan|100.0|
 Vegan Breakfast Smoothie|"99. Vegan Breakfast Smoothie: 50 calories per portion, 2 portions, contains nuts (optional), Worldwide.
"|breakfast|vegan|50.0|contains nuts (optional)
 Vegan Breakfast Stuffed Avocado|"100. Vegan Breakfast Stuffed Avocado: 1000 calories per portion, 1 portion, may contain nuts (check filling ingredients), Worldwide.

Please note that these calorie counts are approximate and can vary based on specific ingredients used and portion sizes. It's always a good idea to double-check the ingredients to ensure they align with any dietary restrictions or allergies you may have."|breakfast|vegan|1000.0|
 Avocado Toast|"1. Avocado Toast: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Overnight Oats|"2. Overnight Oats: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Pancakes with Maple Syrup|"3. Vegan Pancakes with Maple Syrup: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Fruit Smoothie Bowl|"4. Fruit Smoothie Bowl: Calories per portion: 180kcal, Total portions: 1, Allergic warnings: May contain nuts, Origin: N/A
"|breakfast|vegan|-1.0|
 Tofu Scramble|"5. Tofu Scramble: Calories per portion: 150kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
 Chickpea Omelette|"6. Chickpea Omelette: Calories per portion: 220kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Quinoa Breakfast Bowl|"7. Quinoa Breakfast Bowl: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan French Toast|"8. Vegan French Toast: Calories per portion: 280kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Acai Bowl|"9. Acai Bowl: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: Brazil
"|breakfast|vegan|-1.0|
 Vegan Breakfast Burrito|"10. Vegan Breakfast Burrito: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Chia Seed Pudding|"11. Chia Seed Pudding: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Yogurt Parfait|"12. Vegan Yogurt Parfait: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Tacos|"13. Vegan Breakfast Tacos: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Bagel Sandwich|"14. Vegan Bagel Sandwich: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Muesli with Almond Milk|"15. Muesli with Almond Milk: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: May contain nuts, Origin: Switzerland
"|breakfast|vegan|-1.0|
 Vegan Breakfast Casserole|"16. Vegan Breakfast Casserole: Calories per portion: 300kcal, Total portions: 6, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Sweet Potato Toast|"17. Sweet Potato Toast: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Sausage and Biscuits|"18. Vegan Sausage and Biscuits: Calories per portion: 450kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Quesadilla|"19. Vegan Breakfast Quesadilla: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Waffles with Fruit Compote|"20. Vegan Waffles with Fruit Compote: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Tempeh Bacon and Avocado Wrap|"21. Tempeh Bacon and Avocado Wrap: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Egg McMuffin|"22. Vegan Egg McMuffin: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Bulgur Breakfast Bowl|"23. Bulgur Breakfast Bowl: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: Turkey
"|breakfast|vegan|-1.0|
 Vegan Breakfast Pizza|"24. Vegan Breakfast Pizza: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Sushi|"25. Vegan Breakfast Sushi: Calories per portion: 180kcal, Total portions: 1, Allergic warnings: None, Origin: Japan
"|breakfast|vegan|-1.0|
 Vegan Breakfast Enchiladas|"26. Vegan Breakfast Enchiladas: Calories per portion: 400kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Veggie and Tofu Stir-fry|"27. Veggie and Tofu Stir-fry: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Quiche|"28. Vegan Quiche: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Pita|"29. Vegan Breakfast Pita: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Plantain and Black Bean Breakfast Bowl|"30. Plantain and Black Bean Breakfast Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Sausages with Hash Browns|"31. Vegan Breakfast Sausages with Hash Browns: Calories per portion: 350kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Tofu Benedict|"32. Tofu Benedict: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
 Lentil Breakfast Tacos|"33. Lentil Breakfast Tacos: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast BLT|"34. Vegan Breakfast BLT: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Scones|"35. Vegan Breakfast Scones: Calories per portion: 200kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Burrito Bowl|"36. Vegan Breakfast Burrito Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Beetroot and Chickpea Waffles|"37. Beetroot and Chickpea Waffles: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Crepes|"38. Vegan Breakfast Crepes: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: France
"|breakfast|vegan|-1.0|
 Vegan Breakfast Nachos|"39. Vegan Breakfast Nachos: Calories per portion: 400kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Tofu Stir-fry|"40. Vegan Breakfast Tofu Stir-fry: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Burrito Wrap|"41. Vegan Breakfast Burrito Wrap: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Quinoa Salad|"42. Vegan Breakfast Quinoa Salad: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Pizzette|"43. Vegan Breakfast Pizzette: Calories per portion: 400kcal, Total portions: 4, Allergic warnings: None, Origin: Italy
"|breakfast|vegan|-1.0|
 Chickpea Flour Pancakes|"44. Chickpea Flour Pancakes: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: India
"|breakfast|vegan|-1.0|
 Vegan Breakfast Tacos with Tempeh|"45. Vegan Breakfast Tacos with Tempeh: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Burrito Bowl|"46. Vegan Breakfast Burrito Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Stuffed Peppers|"47. Vegan Breakfast Stuffed Peppers: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Bruschetta|"48. Vegan Breakfast Bruschetta: Calories per portion: 200kcal, Total portions: 2, Allergic warnings: None, Origin: Italy
"|breakfast|vegan|-1.0|
 Vegan Breakfast Gyro|"49. Vegan Breakfast Gyro: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: Greece
"|breakfast|vegan|-1.0|
 Vegan Breakfast Cassava Pancakes|"50. Vegan Breakfast Cassava Pancakes: Calories per portion: 350kcal, Total portions: 2, Allergic warnings: None, Origin: Brazil

"|breakfast|vegan|-1.0|
 Vegan Breakfast Pho|"51. Vegan Breakfast Pho: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: Vietnam
"|breakfast|vegan|-1.0|
 Vegan Breakfast Empanadas|"52. Vegan Breakfast Empanadas: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: Latin America
"|breakfast|vegan|-1.0|
 Vegan Breakfast Stuffed Mushrooms|"53. Vegan Breakfast Stuffed Mushrooms: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Samosas|"54. Vegan Breakfast Samosas: Calories per portion: 200kcal, Total portions: 4, Allergic warnings: None, Origin: India
"|breakfast|vegan|-1.0|
 Vegan Breakfast Burrito Wrap|"55. Vegan Breakfast Burrito Wrap: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Falafel|"56. Vegan Breakfast Falafel: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: Middle East
"|breakfast|vegan|-1.0|
 Vegan Breakfast Sushi Bowl|"57. Vegan Breakfast Sushi Bowl: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: Japan
"|breakfast|vegan|-1.0|
 Vegan Breakfast Quinoa Porridge|"58. Vegan Breakfast Quinoa Porridge: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Pizza Bagel|"59. Vegan Breakfast Pizza Bagel: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0|
 Vegan Breakfast Tofu Scramble Wrap|"60. Vegan Breakfast Tofu Scramble Wrap: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0|
