|title|raw_text|meal_type|cultural_restriction
22| Vegan Smoothie Bowl|"23. Vegan Smoothie Bowl: 550 calories per portion, 2 portions, contains nuts (toppings), United States.
"|breakfast|vegan
23| Vegan Breakfast Cookies|"24. Vegan Breakfast Cookies: 500 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
24| Vegan Breakfast Muffins|"25. Vegan Breakfast Muffins: 450 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
25| Vegan Breakfast Skillet|"26. Vegan Breakfast Skillet: 400 calories per portion, 2 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
26| Vegan Breakfast Bars|"27. Vegan Breakfast Bars: 350 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
27| Vegan Breakfast Parfait|"28. Vegan Breakfast Parfait: 300 calories per portion, 2 portions, contains nuts (granola and toppings), United States.
"|breakfast|vegan
28| Vegan Breakfast Crepes|"29. Vegan Breakfast Crepes: 250 calories per portion, 3 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan
29| Vegan Breakfast Quinoa Salad|"30. Vegan Breakfast Quinoa Salad: 200 calories per portion, 4 portions, contains nuts (optional), United States.

"|breakfast|vegan
30| Vegan Blueberry Muffins|"31. Vegan Blueberry Muffins: 450 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
31| Vegan Cinnamon Rolls|"32. Vegan Cinnamon Rolls: 400 calories per portion, 2 portions, may contain gluten (check ingredients), Sweden.
"|breakfast|vegan
32| Vegan Breakfast Burrito Bowl|"33. Vegan Breakfast Burrito Bowl: 350 calories per portion, 2 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
33| Vegan Oatmeal Raisin Cookies|"34. Vegan Oatmeal Raisin Cookies: 300 calories per portion, 8 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
34| Vegan Breakfast Quesadilla|"35. Vegan Breakfast Quesadilla: 250 calories per portion, 1 portion, may contain gluten (check tortilla), Mexico.
"|breakfast|vegan
35| Vegan Breakfast Enchiladas|"36. Vegan Breakfast Enchiladas: 200 calories per portion, 4 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan
36| Vegan Peanut Butter Banana Smoothie|"37. Vegan Peanut Butter Banana Smoothie: 150 calories per portion, 2 portions, contains nuts (peanut butter), United States.
"|breakfast|vegan
37| Vegan Breakfast Bagel|"38. Vegan Breakfast Bagel: 100 calories per portion, 1 portion, may contain gluten (check bagel), Poland.
"|breakfast|vegan
38| Vegan Breakfast Energy Balls|"39. Vegan Breakfast Energy Balls: 50 calories per portion, 6 portions, contains nuts (varies by recipe), United States.
"|breakfast|vegan
39| Vegan Breakfast Sushi|"40. Vegan Breakfast Sushi: 1000 calories per portion, 2 portions, may contain gluten (check ingredients), Japan.

"|breakfast|vegan
40| Vegan Buckwheat Pancakes|"41. Vegan Buckwheat Pancakes: 950 calories per portion, 3 portions, may contain gluten (check ingredients), Russia.
"|breakfast|vegan
41| Vegan Breakfast Bread Pudding|"42. Vegan Breakfast Bread Pudding: 900 calories per portion, 4 portions, may contain gluten (check bread), United Kingdom.
"|breakfast|vegan
42| Vegan Breakfast Empanadas|"43. Vegan Breakfast Empanadas: 850 calories per portion, 2 portions, may contain gluten (check dough), Argentina.
"|breakfast|vegan
43| Vegan Breakfast Cassava Cake|"44. Vegan Breakfast Cassava Cake: 800 calories per portion, 8 portions, may contain gluten (check ingredients), Brazil.
"|breakfast|vegan
44| Vegan Quinoa Breakfast Cookies|"45. Vegan Quinoa Breakfast Cookies: 750 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
45| Vegan Breakfast Bibimbap|"46. Vegan Breakfast Bibimbap: 700 calories per portion, 1 portion, contains soy, South Korea.
"|breakfast|vegan
46| Vegan Breakfast Muesli|"47. Vegan Breakfast Muesli: 650 calories per portion, 2 portions, contains nuts (varies by recipe), Switzerland.
"|breakfast|vegan
47| Vegan Breakfast Tofu Bowl|"48. Vegan Breakfast Tofu Bowl: 600 calories per portion, 2 portions, contains soy and nuts (optional), United States.
"|breakfast|vegan
48| Vegan Breakfast Cobbler|"49. Vegan Breakfast Cobbler: 550 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
49| Vegan Breakfast Vegetable Stir-Fry|"50. Vegan Breakfast Vegetable Stir-Fry: 500 calories per portion, 2 portions, contains soy, China.

"|breakfast|vegan
50| Vegan Breakfast Pho|"51. Vegan Breakfast Pho: 450 calories per portion, 2 portions, may contain gluten (check noodles), Vietnam.
"|breakfast|vegan
51| Vegan Breakfast Fried Rice|"52. Vegan Breakfast Fried Rice: 400 calories per portion, 2 portions, contains soy, China.
"|breakfast|vegan
52| Vegan Breakfast Stuffed Peppers|"53. Vegan Breakfast Stuffed Peppers: 350 calories per portion, 1 portion, contains nuts (optional), United States.
"|breakfast|vegan
53| Vegan Breakfast Tostadas|"54. Vegan Breakfast Tostadas: 300 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan
54| Vegan Breakfast Shakshuka|"55. Vegan Breakfast Shakshuka: 250 calories per portion, 2 portions, contains nuts (optional), Middle East.
"|breakfast|vegan
55| Vegan Breakfast Frittata|"56. Vegan Breakfast Frittata: 200 calories per portion, 4 portions, contains nuts (optional), Italy.
"|breakfast|vegan
56| Vegan Breakfast Fajitas|"57. Vegan Breakfast Fajitas: 150 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan
57| Vegan Breakfast Rice Pudding|"58. Vegan Breakfast Rice Pudding: 100 calories per portion, 6 portions, may contain gluten (check ingredients), Worldwide.
"|breakfast|vegan
58| Vegan Breakfast Stuffed Tomatoes|"59. Vegan Breakfast Stuffed Tomatoes: 50 calories per portion, 2 portions, contains nuts (optional), United States.
"|breakfast|vegan
59| Vegan Breakfast Samosas|"60. Vegan Breakfast Samosas: 1000 calories per portion, 2 portions, may contain gluten (check dough), India.

"|breakfast|vegan
60| Vegan Tofu Benedict|"61. Vegan Tofu Benedict: 950 calories per portion, 2 portions, contains soy, United States.
"|breakfast|vegan
61| Vegan Breakfast Panini|"62. Vegan Breakfast Panini: 900 calories per portion, 1 portion, may contain gluten (check bread), Italy.
"|breakfast|vegan
62| Vegan Breakfast Popovers|"63. Vegan Breakfast Popovers: 850 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
63| Vegan Breakfast Breakfast Tacos|"64. Vegan Breakfast Breakfast Tacos: 800 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan
64| Vegan Breakfast Sweet Potato Hash|"65. Vegan Breakfast Sweet Potato Hash: 750 calories per portion, 2 portions, contains nuts (optional), United States.
"|breakfast|vegan
65| Vegan Breakfast Crepe Cake|"66. Vegan Breakfast Crepe Cake: 700 calories per portion, 4 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan
66| Vegan Breakfast Kimbap|"67. Vegan Breakfast Kimbap: 650 calories per portion, 2 portions, may contain gluten (check ingredients), Korea.
"|breakfast|vegan
67| Vegan Breakfast Danish|"68. Vegan Breakfast Danish: 600 calories per portion, 3 portions, may contain gluten (check ingredients), Denmark.
"|breakfast|vegan
68| Vegan Breakfast Chili|"69. Vegan Breakfast Chili: 550 calories per portion, 4 portions, contains nuts (optional), United States.
"|breakfast|vegan
69| Vegan Breakfast Risotto|"70. Vegan Breakfast Risotto: 500 calories per portion, 2 portions, may contain gluten (check ingredients), Italy.

"|breakfast|vegan
70| Vegan Breakfast Lassi|"71. Vegan Breakfast Lassi: 450 calories per portion, 2 portions, contains nuts (optional), India.
"|breakfast|vegan
71| Vegan Breakfast Hand Pies|"72. Vegan Breakfast Hand Pies: 400 calories per portion, 4 portions, may contain gluten (check dough), Worldwide.
"|breakfast|vegan
72| Vegan Breakfast Croissant|"73. Vegan Breakfast Croissant: 350 calories per portion, 1 portion, may contain gluten (check croissant), France.
"|breakfast|vegan
73| Vegan Breakfast Stromboli|"74. Vegan Breakfast Stromboli: 300 calories per portion, 2 portions, may contain gluten (check dough), Italy.
"|breakfast|vegan
74| Vegan Breakfast Oats and Berries|"75. Vegan Breakfast Oats and Berries: 250 calories per portion, 1 portion, may contain gluten (check ingredients), Worldwide.
"|breakfast|vegan
75| Vegan Breakfast Quiche Lorraine|"76. Vegan Breakfast Quiche Lorraine: 200 calories per portion, 6 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan
76| Vegan Breakfast Pita Pockets|"77. Vegan Breakfast Pita Pockets: 150 calories per portion, 2 portions, may contain gluten (check pita bread), Middle East.
"|breakfast|vegan
77| Vegan Breakfast Steamed Buns|"78. Vegan Breakfast Steamed Buns: 100 calories per portion, 8 portions, may contain gluten (check dough), China.
"|breakfast|vegan
78| Vegan Breakfast Sushi Burrito|"79. Vegan Breakfast Sushi Burrito: 50 calories per portion, 2 portions, may contain gluten (check seaweed), United States.
"|breakfast|vegan
79| Vegan Breakfast Baguette|"80. Vegan Breakfast Baguette: 1000 calories per portion, 1 portion, may contain gluten (check baguette), France.

"|breakfast|vegan
80| Vegan Breakfast Galette|"81. Vegan Breakfast Galette: 950 calories per portion, 2 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan
81| Vegan Breakfast Shakerato|"82. Vegan Breakfast Shakerato: 900 calories per portion, 1 portion, may contain gluten (check ingredients), Italy.
"|breakfast|vegan
82| Vegan Breakfast Miso Soup|"83. Vegan Breakfast Miso Soup: 850 calories per portion, 2 portions, contains soy, Japan.
"|breakfast|vegan
83| Vegan Breakfast Crostini|"84. Vegan Breakfast Crostini: 800 calories per portion, 3 portions, may contain gluten (check bread), Italy.
"|breakfast|vegan
84| Vegan Breakfast Stuffed Mushrooms|"85. Vegan Breakfast Stuffed Mushrooms: 750 calories per portion, 2 portions, contains nuts (optional), Worldwide.
"|breakfast|vegan
85| Vegan Breakfast Dutch Baby Pancake|"86. Vegan Breakfast Dutch Baby Pancake: 700 calories per portion, 1 portion, may contain gluten (check ingredients), Netherlands.
"|breakfast|vegan
86| Vegan Breakfast Zucchini Bread|"87. Vegan Breakfast Zucchini Bread: 650 calories per portion, 3 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
87| Vegan Breakfast Biscotti|"88. Vegan Breakfast Biscotti: 600 calories per portion, 4 portions, may contain gluten (check ingredients), Italy.
"|breakfast|vegan
88| Vegan Breakfast Pesto Pasta|"89. Vegan Breakfast Pesto Pasta: 550 calories per portion, 2 portions, may contain gluten (check pasta), Italy.
"|breakfast|vegan
89| Vegan Breakfast Croque Madame|"90. Vegan Breakfast Croque Madame: 500 calories per portion, 2 portions, may contain gluten (check bread), France.

"|breakfast|vegan
90| Vegan Breakfast Muffuletta|"91. Vegan Breakfast Muffuletta: 450 calories per portion, 1 portion, may contain gluten (check bread), United States.
"|breakfast|vegan
91| Vegan Breakfast Spanakopita|"92. Vegan Breakfast Spanakopita: 400 calories per portion, 3 portions, may contain gluten (check phyllo dough), Greece.
"|breakfast|vegan
92| Vegan Breakfast Banana Bread|"93. Vegan Breakfast Banana Bread: 350 calories per portion, 8 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan
93| Vegan Breakfast Tiramisu|"94. Vegan Breakfast Tiramisu: 300 calories per portion, 4 portions, may contain gluten (check ingredients), Italy.
"|breakfast|vegan
94| Vegan Breakfast Bruschetta|"95. Vegan Breakfast Bruschetta: 250 calories per portion, 2 portions, may contain gluten (check bread), Italy.
"|breakfast|vegan
95| Vegan Breakfast Phyllo Cups|"96. Vegan Breakfast Phyllo Cups: 200 calories per portion, 6 portions, may contain gluten (check phyllo dough), Mediterranean.
"|breakfast|vegan
96| Vegan Breakfast Fruit Pizza|"97. Vegan Breakfast Fruit Pizza: 150 calories per portion, 4 portions, may contain gluten (check crust), United States.
"|breakfast|vegan
97| Vegan Breakfast Falafel|"98. Vegan Breakfast Falafel: 100 calories per portion, 4 portions, may contain gluten (check ingredients), Middle East.
"|breakfast|vegan
98| Vegan Breakfast Smoothie|"99. Vegan Breakfast Smoothie: 50 calories per portion, 2 portions, contains nuts (optional), Worldwide.
"|breakfast|vegan
99| Vegan Breakfast Stuffed Avocado|"100. Vegan Breakfast Stuffed Avocado: 1000 calories per portion, 1 portion, may contain nuts (check filling ingredients), Worldwide.

Please note that these calorie counts are approximate and can vary based on specific ingredients used and portion sizes. It's always a good idea to double-check the ingredients to ensure they align with any dietary restrictions or allergies you may have."|breakfast|vegan
0| Avocado Toast|"1. Avocado Toast: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
1| Overnight Oats|"2. Overnight Oats: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
2| Vegan Pancakes with Maple Syrup|"3. Vegan Pancakes with Maple Syrup: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
3| Fruit Smoothie Bowl|"4. Fruit Smoothie Bowl: Calories per portion: 180kcal, Total portions: 1, Allergic warnings: May contain nuts, Origin: N/A
"|breakfast|vegan
4| Tofu Scramble|"5. Tofu Scramble: Calories per portion: 150kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
5| Chickpea Omelette|"6. Chickpea Omelette: Calories per portion: 220kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
6| Quinoa Breakfast Bowl|"7. Quinoa Breakfast Bowl: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
7| Vegan French Toast|"8. Vegan French Toast: Calories per portion: 280kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
8| Acai Bowl|"9. Acai Bowl: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: Brazil
"|breakfast|vegan
9| Vegan Breakfast Burrito|"10. Vegan Breakfast Burrito: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
10| Chia Seed Pudding|"11. Chia Seed Pudding: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
11| Vegan Yogurt Parfait|"12. Vegan Yogurt Parfait: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
12| Vegan Breakfast Tacos|"13. Vegan Breakfast Tacos: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
13| Vegan Bagel Sandwich|"14. Vegan Bagel Sandwich: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
14| Muesli with Almond Milk|"15. Muesli with Almond Milk: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: May contain nuts, Origin: Switzerland
"|breakfast|vegan
15| Vegan Breakfast Casserole|"16. Vegan Breakfast Casserole: Calories per portion: 300kcal, Total portions: 6, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
16| Sweet Potato Toast|"17. Sweet Potato Toast: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
17| Vegan Sausage and Biscuits|"18. Vegan Sausage and Biscuits: Calories per portion: 450kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
18| Vegan Breakfast Quesadilla|"19. Vegan Breakfast Quesadilla: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
19| Vegan Waffles with Fruit Compote|"20. Vegan Waffles with Fruit Compote: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
20| Tempeh Bacon and Avocado Wrap|"21. Tempeh Bacon and Avocado Wrap: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
21| Vegan Egg McMuffin|"22. Vegan Egg McMuffin: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
22| Bulgur Breakfast Bowl|"23. Bulgur Breakfast Bowl: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: Turkey
"|breakfast|vegan
23| Vegan Breakfast Pizza|"24. Vegan Breakfast Pizza: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
24| Vegan Breakfast Sushi|"25. Vegan Breakfast Sushi: Calories per portion: 180kcal, Total portions: 1, Allergic warnings: None, Origin: Japan
"|breakfast|vegan
25| Vegan Breakfast Enchiladas|"26. Vegan Breakfast Enchiladas: Calories per portion: 400kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
26| Veggie and Tofu Stir-fry|"27. Veggie and Tofu Stir-fry: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
27| Vegan Quiche|"28. Vegan Quiche: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
28| Vegan Breakfast Pita|"29. Vegan Breakfast Pita: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
29| Plantain and Black Bean Breakfast Bowl|"30. Plantain and Black Bean Breakfast Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
30| Vegan Breakfast Sausages with Hash Browns|"31. Vegan Breakfast Sausages with Hash Browns: Calories per portion: 350kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
31| Tofu Benedict|"32. Tofu Benedict: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
32| Lentil Breakfast Tacos|"33. Lentil Breakfast Tacos: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
33| Vegan Breakfast BLT|"34. Vegan Breakfast BLT: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
34| Vegan Breakfast Scones|"35. Vegan Breakfast Scones: Calories per portion: 200kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
35| Vegan Breakfast Burrito Bowl|"36. Vegan Breakfast Burrito Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
36| Beetroot and Chickpea Waffles|"37. Beetroot and Chickpea Waffles: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
37| Vegan Breakfast Crepes|"38. Vegan Breakfast Crepes: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: France
"|breakfast|vegan
38| Vegan Breakfast Nachos|"39. Vegan Breakfast Nachos: Calories per portion: 400kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
39| Vegan Breakfast Tofu Stir-fry|"40. Vegan Breakfast Tofu Stir-fry: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
40| Vegan Breakfast Burrito Wrap|"41. Vegan Breakfast Burrito Wrap: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
41| Vegan Breakfast Quinoa Salad|"42. Vegan Breakfast Quinoa Salad: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
42| Vegan Breakfast Pizzette|"43. Vegan Breakfast Pizzette: Calories per portion: 400kcal, Total portions: 4, Allergic warnings: None, Origin: Italy
"|breakfast|vegan
43| Chickpea Flour Pancakes|"44. Chickpea Flour Pancakes: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: India
"|breakfast|vegan
44| Vegan Breakfast Tacos with Tempeh|"45. Vegan Breakfast Tacos with Tempeh: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
45| Vegan Breakfast Burrito Bowl|"46. Vegan Breakfast Burrito Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
46| Vegan Breakfast Stuffed Peppers|"47. Vegan Breakfast Stuffed Peppers: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
47| Vegan Breakfast Bruschetta|"48. Vegan Breakfast Bruschetta: Calories per portion: 200kcal, Total portions: 2, Allergic warnings: None, Origin: Italy
"|breakfast|vegan
48| Vegan Breakfast Gyro|"49. Vegan Breakfast Gyro: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: Greece
"|breakfast|vegan
49| Vegan Breakfast Cassava Pancakes|"50. Vegan Breakfast Cassava Pancakes: Calories per portion: 350kcal, Total portions: 2, Allergic warnings: None, Origin: Brazil

"|breakfast|vegan
50| Vegan Breakfast Pho|"51. Vegan Breakfast Pho: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: Vietnam
"|breakfast|vegan
51| Vegan Breakfast Empanadas|"52. Vegan Breakfast Empanadas: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: Latin America
"|breakfast|vegan
52| Vegan Breakfast Stuffed Mushrooms|"53. Vegan Breakfast Stuffed Mushrooms: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
53| Vegan Breakfast Samosas|"54. Vegan Breakfast Samosas: Calories per portion: 200kcal, Total portions: 4, Allergic warnings: None, Origin: India
"|breakfast|vegan
54| Vegan Breakfast Burrito Wrap|"55. Vegan Breakfast Burrito Wrap: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
55| Vegan Breakfast Falafel|"56. Vegan Breakfast Falafel: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: Middle East
"|breakfast|vegan
56| Vegan Breakfast Sushi Bowl|"57. Vegan Breakfast Sushi Bowl: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: Japan
"|breakfast|vegan
57| Vegan Breakfast Quinoa Porridge|"58. Vegan Breakfast Quinoa Porridge: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
58| Vegan Breakfast Pizza Bagel|"59. Vegan Breakfast Pizza Bagel: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
59| Vegan Breakfast Tofu Scramble Wrap|"60. Vegan Breakfast Tofu Scramble Wrap: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
60| Vegan Breakfast Rice Paper Rolls|"61. Vegan Breakfast Rice Paper Rolls: Calories per portion: 200kcal, Total portions: 2, Allergic warnings: None, Origin: Vietnam
"|breakfast|vegan
61| Vegan Breakfast Stuffed Bell Peppers|"62. Vegan Breakfast Stuffed Bell Peppers: Calories per portion: 400kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
62| Vegan Breakfast Acai Smoothie|"63. Vegan Breakfast Acai Smoothie: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: Brazil
"|breakfast|vegan
63| Vegan Breakfast Stuffed Tomatoes|"64. Vegan Breakfast Stuffed Tomatoes: Calories per portion: 300kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
64| Vegan Breakfast Jackfruit Tacos|"65. Vegan Breakfast Jackfruit Tacos: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
65| Vegan Breakfast Zucchini Fritters|"66. Vegan Breakfast Zucchini Fritters: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
66| Vegan Breakfast Tofu Tikka Masala|"67. Vegan Breakfast Tofu Tikka Masala: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: Soy, Origin: India
"|breakfast|vegan
67| Vegan Breakfast Quinoa Salad Wrap|"68. Vegan Breakfast Quinoa Salad Wrap: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
68| Vegan Breakfast Tempeh Bacon Sandwich|"69. Vegan Breakfast Tempeh Bacon Sandwich: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan
69| Vegan Breakfast Rice Bowl|"70. Vegan Breakfast Rice Bowl: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan
