|title|raw_text|meal_type|cultural_restriction|calories|allergies|recipeId
16| Chickpea Flour Pancakes|"17. Chickpea Flour Pancakes: 900 calories per portion, 3 portions, may contain gluten (check ingredients), India.
"|breakfast|vegan|900.0||food_16
17| Vegan Breakfast Tacos|"18. Vegan Breakfast Tacos: 950 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|950.0||food_17
18| Tempeh Bacon and Hash Browns|"19. Tempeh Bacon and Hash Browns: 1000 calories per portion, 1 portion, contains soy, Indonesia.
"|breakfast|vegan|1000.0|contains soy|food_18
19| Vegan Breakfast Quiche|"20. Vegan Breakfast Quiche: 800 calories per portion, 4 portions, contains nuts (cashews), United States.

"|breakfast|vegan|800.0|contains nuts (cashews)|food_19
20| Vegan Scones|"21. Vegan Scones: 700 calories per portion, 3 portions, may contain gluten (check ingredients), United Kingdom.
"|breakfast|vegan|700.0||food_20
21| Vegan Breakfast BLT|"22. Vegan Breakfast BLT: 600 calories per portion, 2 portions, may contain gluten (check bread), United States.
"|breakfast|vegan|600.0||food_21
22| Vegan Smoothie Bowl|"23. Vegan Smoothie Bowl: 550 calories per portion, 2 portions, contains nuts (toppings), United States.
"|breakfast|vegan|550.0|contains nuts (toppings)|food_22
23| Vegan Breakfast Cookies|"24. Vegan Breakfast Cookies: 500 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|500.0||food_23
24| Vegan Breakfast Muffins|"25. Vegan Breakfast Muffins: 450 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|450.0||food_24
25| Vegan Breakfast Skillet|"26. Vegan Breakfast Skillet: 400 calories per portion, 2 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|400.0||food_25
26| Vegan Breakfast Bars|"27. Vegan Breakfast Bars: 350 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|350.0||food_26
27| Vegan Breakfast Parfait|"28. Vegan Breakfast Parfait: 300 calories per portion, 2 portions, contains nuts (granola and toppings), United States.
"|breakfast|vegan|300.0|contains nuts (granola and toppings)|food_27
28| Vegan Breakfast Crepes|"29. Vegan Breakfast Crepes: 250 calories per portion, 3 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|250.0||food_28
29| Vegan Breakfast Quinoa Salad|"30. Vegan Breakfast Quinoa Salad: 200 calories per portion, 4 portions, contains nuts (optional), United States.

"|breakfast|vegan|200.0|contains nuts (optional)|food_29
30| Vegan Blueberry Muffins|"31. Vegan Blueberry Muffins: 450 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|450.0||food_30
31| Vegan Cinnamon Rolls|"32. Vegan Cinnamon Rolls: 400 calories per portion, 2 portions, may contain gluten (check ingredients), Sweden.
"|breakfast|vegan|400.0||food_31
32| Vegan Breakfast Burrito Bowl|"33. Vegan Breakfast Burrito Bowl: 350 calories per portion, 2 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|350.0||food_32
33| Vegan Oatmeal Raisin Cookies|"34. Vegan Oatmeal Raisin Cookies: 300 calories per portion, 8 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|300.0||food_33
34| Vegan Breakfast Quesadilla|"35. Vegan Breakfast Quesadilla: 250 calories per portion, 1 portion, may contain gluten (check tortilla), Mexico.
"|breakfast|vegan|250.0||food_34
35| Vegan Breakfast Enchiladas|"36. Vegan Breakfast Enchiladas: 200 calories per portion, 4 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|200.0||food_35
36| Vegan Peanut Butter Banana Smoothie|"37. Vegan Peanut Butter Banana Smoothie: 150 calories per portion, 2 portions, contains nuts (peanut butter), United States.
"|breakfast|vegan|150.0|contains nuts (peanut butter)|food_36
37| Vegan Breakfast Bagel|"38. Vegan Breakfast Bagel: 100 calories per portion, 1 portion, may contain gluten (check bagel), Poland.
"|breakfast|vegan|100.0||food_37
38| Vegan Breakfast Energy Balls|"39. Vegan Breakfast Energy Balls: 50 calories per portion, 6 portions, contains nuts (varies by recipe), United States.
"|breakfast|vegan|50.0|contains nuts (varies by recipe)|food_38
39| Vegan Breakfast Sushi|"40. Vegan Breakfast Sushi: 1000 calories per portion, 2 portions, may contain gluten (check ingredients), Japan.

"|breakfast|vegan|1000.0||food_39
40| Vegan Buckwheat Pancakes|"41. Vegan Buckwheat Pancakes: 950 calories per portion, 3 portions, may contain gluten (check ingredients), Russia.
"|breakfast|vegan|950.0||food_40
41| Vegan Breakfast Bread Pudding|"42. Vegan Breakfast Bread Pudding: 900 calories per portion, 4 portions, may contain gluten (check bread), United Kingdom.
"|breakfast|vegan|900.0||food_41
42| Vegan Breakfast Empanadas|"43. Vegan Breakfast Empanadas: 850 calories per portion, 2 portions, may contain gluten (check dough), Argentina.
"|breakfast|vegan|850.0||food_42
43| Vegan Breakfast Cassava Cake|"44. Vegan Breakfast Cassava Cake: 800 calories per portion, 8 portions, may contain gluten (check ingredients), Brazil.
"|breakfast|vegan|800.0||food_43
44| Vegan Quinoa Breakfast Cookies|"45. Vegan Quinoa Breakfast Cookies: 750 calories per portion, 6 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|750.0||food_44
45| Vegan Breakfast Bibimbap|"46. Vegan Breakfast Bibimbap: 700 calories per portion, 1 portion, contains soy, South Korea.
"|breakfast|vegan|700.0|contains soy|food_45
46| Vegan Breakfast Muesli|"47. Vegan Breakfast Muesli: 650 calories per portion, 2 portions, contains nuts (varies by recipe), Switzerland.
"|breakfast|vegan|650.0|contains nuts (varies by recipe)|food_46
47| Vegan Breakfast Tofu Bowl|"48. Vegan Breakfast Tofu Bowl: 600 calories per portion, 2 portions, contains soy and nuts (optional), United States.
"|breakfast|vegan|600.0|contains soy and nuts (optional)|food_47
48| Vegan Breakfast Cobbler|"49. Vegan Breakfast Cobbler: 550 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|550.0||food_48
49| Vegan Breakfast Vegetable Stir-Fry|"50. Vegan Breakfast Vegetable Stir-Fry: 500 calories per portion, 2 portions, contains soy, China.

"|breakfast|vegan|500.0|contains soy|food_49
50| Vegan Breakfast Pho|"51. Vegan Breakfast Pho: 450 calories per portion, 2 portions, may contain gluten (check noodles), Vietnam.
"|breakfast|vegan|450.0||food_50
51| Vegan Breakfast Fried Rice|"52. Vegan Breakfast Fried Rice: 400 calories per portion, 2 portions, contains soy, China.
"|breakfast|vegan|400.0|contains soy|food_51
52| Vegan Breakfast Stuffed Peppers|"53. Vegan Breakfast Stuffed Peppers: 350 calories per portion, 1 portion, contains nuts (optional), United States.
"|breakfast|vegan|350.0|contains nuts (optional)|food_52
53| Vegan Breakfast Tostadas|"54. Vegan Breakfast Tostadas: 300 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|300.0||food_53
54| Vegan Breakfast Shakshuka|"55. Vegan Breakfast Shakshuka: 250 calories per portion, 2 portions, contains nuts (optional), Middle East.
"|breakfast|vegan|250.0|contains nuts (optional)|food_54
55| Vegan Breakfast Frittata|"56. Vegan Breakfast Frittata: 200 calories per portion, 4 portions, contains nuts (optional), Italy.
"|breakfast|vegan|200.0|contains nuts (optional)|food_55
56| Vegan Breakfast Fajitas|"57. Vegan Breakfast Fajitas: 150 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|150.0||food_56
57| Vegan Breakfast Rice Pudding|"58. Vegan Breakfast Rice Pudding: 100 calories per portion, 6 portions, may contain gluten (check ingredients), Worldwide.
"|breakfast|vegan|100.0||food_57
58| Vegan Breakfast Stuffed Tomatoes|"59. Vegan Breakfast Stuffed Tomatoes: 50 calories per portion, 2 portions, contains nuts (optional), United States.
"|breakfast|vegan|50.0|contains nuts (optional)|food_58
59| Vegan Breakfast Samosas|"60. Vegan Breakfast Samosas: 1000 calories per portion, 2 portions, may contain gluten (check dough), India.

"|breakfast|vegan|1000.0||food_59
60| Vegan Tofu Benedict|"61. Vegan Tofu Benedict: 950 calories per portion, 2 portions, contains soy, United States.
"|breakfast|vegan|950.0|contains soy|food_60
61| Vegan Breakfast Panini|"62. Vegan Breakfast Panini: 900 calories per portion, 1 portion, may contain gluten (check bread), Italy.
"|breakfast|vegan|900.0||food_61
62| Vegan Breakfast Popovers|"63. Vegan Breakfast Popovers: 850 calories per portion, 4 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|850.0||food_62
63| Vegan Breakfast Breakfast Tacos|"64. Vegan Breakfast Breakfast Tacos: 800 calories per portion, 2 portions, may contain gluten (check tortillas), Mexico.
"|breakfast|vegan|800.0||food_63
64| Vegan Breakfast Sweet Potato Hash|"65. Vegan Breakfast Sweet Potato Hash: 750 calories per portion, 2 portions, contains nuts (optional), United States.
"|breakfast|vegan|750.0|contains nuts (optional)|food_64
65| Vegan Breakfast Crepe Cake|"66. Vegan Breakfast Crepe Cake: 700 calories per portion, 4 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|700.0||food_65
66| Vegan Breakfast Kimbap|"67. Vegan Breakfast Kimbap: 650 calories per portion, 2 portions, may contain gluten (check ingredients), Korea.
"|breakfast|vegan|650.0||food_66
67| Vegan Breakfast Danish|"68. Vegan Breakfast Danish: 600 calories per portion, 3 portions, may contain gluten (check ingredients), Denmark.
"|breakfast|vegan|600.0||food_67
68| Vegan Breakfast Chili|"69. Vegan Breakfast Chili: 550 calories per portion, 4 portions, contains nuts (optional), United States.
"|breakfast|vegan|550.0|contains nuts (optional)|food_68
69| Vegan Breakfast Risotto|"70. Vegan Breakfast Risotto: 500 calories per portion, 2 portions, may contain gluten (check ingredients), Italy.

"|breakfast|vegan|500.0||food_69
70| Vegan Breakfast Lassi|"71. Vegan Breakfast Lassi: 450 calories per portion, 2 portions, contains nuts (optional), India.
"|breakfast|vegan|450.0|contains nuts (optional)|food_70
71| Vegan Breakfast Hand Pies|"72. Vegan Breakfast Hand Pies: 400 calories per portion, 4 portions, may contain gluten (check dough), Worldwide.
"|breakfast|vegan|400.0||food_71
72| Vegan Breakfast Croissant|"73. Vegan Breakfast Croissant: 350 calories per portion, 1 portion, may contain gluten (check croissant), France.
"|breakfast|vegan|350.0||food_72
73| Vegan Breakfast Stromboli|"74. Vegan Breakfast Stromboli: 300 calories per portion, 2 portions, may contain gluten (check dough), Italy.
"|breakfast|vegan|300.0||food_73
74| Vegan Breakfast Oats and Berries|"75. Vegan Breakfast Oats and Berries: 250 calories per portion, 1 portion, may contain gluten (check ingredients), Worldwide.
"|breakfast|vegan|250.0||food_74
75| Vegan Breakfast Quiche Lorraine|"76. Vegan Breakfast Quiche Lorraine: 200 calories per portion, 6 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|200.0||food_75
76| Vegan Breakfast Pita Pockets|"77. Vegan Breakfast Pita Pockets: 150 calories per portion, 2 portions, may contain gluten (check pita bread), Middle East.
"|breakfast|vegan|150.0||food_76
77| Vegan Breakfast Steamed Buns|"78. Vegan Breakfast Steamed Buns: 100 calories per portion, 8 portions, may contain gluten (check dough), China.
"|breakfast|vegan|100.0||food_77
78| Vegan Breakfast Sushi Burrito|"79. Vegan Breakfast Sushi Burrito: 50 calories per portion, 2 portions, may contain gluten (check seaweed), United States.
"|breakfast|vegan|50.0||food_78
79| Vegan Breakfast Baguette|"80. Vegan Breakfast Baguette: 1000 calories per portion, 1 portion, may contain gluten (check baguette), France.

"|breakfast|vegan|1000.0||food_79
80| Vegan Breakfast Galette|"81. Vegan Breakfast Galette: 950 calories per portion, 2 portions, may contain gluten (check ingredients), France.
"|breakfast|vegan|950.0||food_80
81| Vegan Breakfast Shakerato|"82. Vegan Breakfast Shakerato: 900 calories per portion, 1 portion, may contain gluten (check ingredients), Italy.
"|breakfast|vegan|900.0||food_81
82| Vegan Breakfast Miso Soup|"83. Vegan Breakfast Miso Soup: 850 calories per portion, 2 portions, contains soy, Japan.
"|breakfast|vegan|850.0|contains soy|food_82
83| Vegan Breakfast Crostini|"84. Vegan Breakfast Crostini: 800 calories per portion, 3 portions, may contain gluten (check bread), Italy.
"|breakfast|vegan|800.0||food_83
84| Vegan Breakfast Stuffed Mushrooms|"85. Vegan Breakfast Stuffed Mushrooms: 750 calories per portion, 2 portions, contains nuts (optional), Worldwide.
"|breakfast|vegan|750.0|contains nuts (optional)|food_84
85| Vegan Breakfast Dutch Baby Pancake|"86. Vegan Breakfast Dutch Baby Pancake: 700 calories per portion, 1 portion, may contain gluten (check ingredients), Netherlands.
"|breakfast|vegan|700.0||food_85
86| Vegan Breakfast Zucchini Bread|"87. Vegan Breakfast Zucchini Bread: 650 calories per portion, 3 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|650.0||food_86
87| Vegan Breakfast Biscotti|"88. Vegan Breakfast Biscotti: 600 calories per portion, 4 portions, may contain gluten (check ingredients), Italy.
"|breakfast|vegan|600.0||food_87
88| Vegan Breakfast Pesto Pasta|"89. Vegan Breakfast Pesto Pasta: 550 calories per portion, 2 portions, may contain gluten (check pasta), Italy.
"|breakfast|vegan|550.0||food_88
89| Vegan Breakfast Croque Madame|"90. Vegan Breakfast Croque Madame: 500 calories per portion, 2 portions, may contain gluten (check bread), France.

"|breakfast|vegan|500.0||food_89
90| Vegan Breakfast Muffuletta|"91. Vegan Breakfast Muffuletta: 450 calories per portion, 1 portion, may contain gluten (check bread), United States.
"|breakfast|vegan|450.0||food_90
91| Vegan Breakfast Spanakopita|"92. Vegan Breakfast Spanakopita: 400 calories per portion, 3 portions, may contain gluten (check phyllo dough), Greece.
"|breakfast|vegan|400.0||food_91
92| Vegan Breakfast Banana Bread|"93. Vegan Breakfast Banana Bread: 350 calories per portion, 8 portions, may contain gluten (check ingredients), United States.
"|breakfast|vegan|350.0||food_92
93| Vegan Breakfast Tiramisu|"94. Vegan Breakfast Tiramisu: 300 calories per portion, 4 portions, may contain gluten (check ingredients), Italy.
"|breakfast|vegan|300.0||food_93
94| Vegan Breakfast Bruschetta|"95. Vegan Breakfast Bruschetta: 250 calories per portion, 2 portions, may contain gluten (check bread), Italy.
"|breakfast|vegan|250.0||food_94
95| Vegan Breakfast Phyllo Cups|"96. Vegan Breakfast Phyllo Cups: 200 calories per portion, 6 portions, may contain gluten (check phyllo dough), Mediterranean.
"|breakfast|vegan|200.0||food_95
96| Vegan Breakfast Fruit Pizza|"97. Vegan Breakfast Fruit Pizza: 150 calories per portion, 4 portions, may contain gluten (check crust), United States.
"|breakfast|vegan|150.0||food_96
97| Vegan Breakfast Falafel|"98. Vegan Breakfast Falafel: 100 calories per portion, 4 portions, may contain gluten (check ingredients), Middle East.
"|breakfast|vegan|100.0||food_97
98| Vegan Breakfast Smoothie|"99. Vegan Breakfast Smoothie: 50 calories per portion, 2 portions, contains nuts (optional), Worldwide.
"|breakfast|vegan|50.0|contains nuts (optional)|food_98
99| Vegan Breakfast Stuffed Avocado|"100. Vegan Breakfast Stuffed Avocado: 1000 calories per portion, 1 portion, may contain nuts (check filling ingredients), Worldwide.

Please note that these calorie counts are approximate and can vary based on specific ingredients used and portion sizes. It's always a good idea to double-check the ingredients to ensure they align with any dietary restrictions or allergies you may have."|breakfast|vegan|1000.0||food_99
100| Avocado Toast|"1. Avocado Toast: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_100
101| Overnight Oats|"2. Overnight Oats: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_101
102| Vegan Pancakes with Maple Syrup|"3. Vegan Pancakes with Maple Syrup: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_102
103| Fruit Smoothie Bowl|"4. Fruit Smoothie Bowl: Calories per portion: 180kcal, Total portions: 1, Allergic warnings: May contain nuts, Origin: N/A
"|breakfast|vegan|-1.0||food_103
104| Tofu Scramble|"5. Tofu Scramble: Calories per portion: 150kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0||food_104
105| Chickpea Omelette|"6. Chickpea Omelette: Calories per portion: 220kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_105
106| Quinoa Breakfast Bowl|"7. Quinoa Breakfast Bowl: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_106
107| Vegan French Toast|"8. Vegan French Toast: Calories per portion: 280kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_107
108| Acai Bowl|"9. Acai Bowl: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: Brazil
"|breakfast|vegan|-1.0||food_108
109| Vegan Breakfast Burrito|"10. Vegan Breakfast Burrito: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_109
110| Chia Seed Pudding|"11. Chia Seed Pudding: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_110
111| Vegan Yogurt Parfait|"12. Vegan Yogurt Parfait: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_111
112| Vegan Breakfast Tacos|"13. Vegan Breakfast Tacos: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_112
113| Vegan Bagel Sandwich|"14. Vegan Bagel Sandwich: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_113
114| Muesli with Almond Milk|"15. Muesli with Almond Milk: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: May contain nuts, Origin: Switzerland
"|breakfast|vegan|-1.0||food_114
115| Vegan Breakfast Casserole|"16. Vegan Breakfast Casserole: Calories per portion: 300kcal, Total portions: 6, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_115
116| Sweet Potato Toast|"17. Sweet Potato Toast: Calories per portion: 200kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_116
117| Vegan Sausage and Biscuits|"18. Vegan Sausage and Biscuits: Calories per portion: 450kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_117
118| Vegan Breakfast Quesadilla|"19. Vegan Breakfast Quesadilla: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_118
119| Vegan Waffles with Fruit Compote|"20. Vegan Waffles with Fruit Compote: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_119
120| Tempeh Bacon and Avocado Wrap|"21. Tempeh Bacon and Avocado Wrap: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0||food_120
121| Vegan Egg McMuffin|"22. Vegan Egg McMuffin: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_121
122| Bulgur Breakfast Bowl|"23. Bulgur Breakfast Bowl: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: Turkey
"|breakfast|vegan|-1.0||food_122
123| Vegan Breakfast Pizza|"24. Vegan Breakfast Pizza: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_123
124| Vegan Breakfast Sushi|"25. Vegan Breakfast Sushi: Calories per portion: 180kcal, Total portions: 1, Allergic warnings: None, Origin: Japan
"|breakfast|vegan|-1.0||food_124
125| Vegan Breakfast Enchiladas|"26. Vegan Breakfast Enchiladas: Calories per portion: 400kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_125
126| Veggie and Tofu Stir-fry|"27. Veggie and Tofu Stir-fry: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0||food_126
127| Vegan Quiche|"28. Vegan Quiche: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_127
128| Vegan Breakfast Pita|"29. Vegan Breakfast Pita: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_128
129| Plantain and Black Bean Breakfast Bowl|"30. Plantain and Black Bean Breakfast Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_129
130| Vegan Breakfast Sausages with Hash Browns|"31. Vegan Breakfast Sausages with Hash Browns: Calories per portion: 350kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_130
131| Tofu Benedict|"32. Tofu Benedict: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0||food_131
132| Lentil Breakfast Tacos|"33. Lentil Breakfast Tacos: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_132
133| Vegan Breakfast BLT|"34. Vegan Breakfast BLT: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0||food_133
134| Vegan Breakfast Scones|"35. Vegan Breakfast Scones: Calories per portion: 200kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_134
135| Vegan Breakfast Burrito Bowl|"36. Vegan Breakfast Burrito Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_135
136| Beetroot and Chickpea Waffles|"37. Beetroot and Chickpea Waffles: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_136
137| Vegan Breakfast Crepes|"38. Vegan Breakfast Crepes: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: France
"|breakfast|vegan|-1.0||food_137
138| Vegan Breakfast Nachos|"39. Vegan Breakfast Nachos: Calories per portion: 400kcal, Total portions: 2, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_138
139| Vegan Breakfast Tofu Stir-fry|"40. Vegan Breakfast Tofu Stir-fry: Calories per portion: 300kcal, Total portions: 1, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0||food_139
140| Vegan Breakfast Burrito Wrap|"41. Vegan Breakfast Burrito Wrap: Calories per portion: 350kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_140
141| Vegan Breakfast Quinoa Salad|"42. Vegan Breakfast Quinoa Salad: Calories per portion: 250kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_141
142| Vegan Breakfast Pizzette|"43. Vegan Breakfast Pizzette: Calories per portion: 400kcal, Total portions: 4, Allergic warnings: None, Origin: Italy
"|breakfast|vegan|-1.0||food_142
143| Chickpea Flour Pancakes|"44. Chickpea Flour Pancakes: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: India
"|breakfast|vegan|-1.0||food_143
144| Vegan Breakfast Tacos with Tempeh|"45. Vegan Breakfast Tacos with Tempeh: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: Soy, Origin: N/A
"|breakfast|vegan|-1.0||food_144
145| Vegan Breakfast Burrito Bowl|"46. Vegan Breakfast Burrito Bowl: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_145
146| Vegan Breakfast Stuffed Peppers|"47. Vegan Breakfast Stuffed Peppers: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_146
147| Vegan Breakfast Bruschetta|"48. Vegan Breakfast Bruschetta: Calories per portion: 200kcal, Total portions: 2, Allergic warnings: None, Origin: Italy
"|breakfast|vegan|-1.0||food_147
148| Vegan Breakfast Gyro|"49. Vegan Breakfast Gyro: Calories per portion: 400kcal, Total portions: 1, Allergic warnings: None, Origin: Greece
"|breakfast|vegan|-1.0||food_148
149| Vegan Breakfast Cassava Pancakes|"50. Vegan Breakfast Cassava Pancakes: Calories per portion: 350kcal, Total portions: 2, Allergic warnings: None, Origin: Brazil

"|breakfast|vegan|-1.0||food_149
150| Vegan Breakfast Pho|"51. Vegan Breakfast Pho: Calories per portion: 300kcal, Total portions: 2, Allergic warnings: None, Origin: Vietnam
"|breakfast|vegan|-1.0||food_150
151| Vegan Breakfast Empanadas|"52. Vegan Breakfast Empanadas: Calories per portion: 250kcal, Total portions: 2, Allergic warnings: None, Origin: Latin America
"|breakfast|vegan|-1.0||food_151
152| Vegan Breakfast Stuffed Mushrooms|"53. Vegan Breakfast Stuffed Mushrooms: Calories per portion: 350kcal, Total portions: 4, Allergic warnings: None, Origin: N/A
"|breakfast|vegan|-1.0||food_152
