,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
6,0.0,350.0,0.0,400.0,350.0,N/A, Veggie Wrap,N/A, Vegetable lasagna, Jamaican Rice and Peas,mrs.918a
7,0.0,250.0,0.0,250.0,220.0,N/A, Chocolate Chip Banana Bread,N/A, Vegetarian sushi bowl," Greek Salad - 220kcals per portion, 4 portions, contains dairy
",mrs.918a
8,0.0,150.0,0.0,300.0,250.0,N/A, Oven-Baked Onion Rings,N/A," Spinach and Mushroom Quesadillas - 300kcals per portion, 2 portions, contains gluten, dairy (Mexico)
"," Greek Couscous Salad - 250 calories/portion, 4 portions, contains gluten (Greece)
",mrs.918a
9,0.0,350.0,0.0,250.0,150.0,N/A, Peanut Butter and Jelly Sandwich,N/A, Lentil and Vegetable Soup, Minestrone Soup,mrs.918a
0,300.0,250.0,150.0,120.0,300.0, Vegan Omelette, Veggie Burger Sliders, Baked Sweet Potato Wedges," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Chickpea Curry,brandona1d7
1,400.0,150.0,300.0,150.0,200.0," Israeli shakshuka with feta cheese - 400 calories per portion, 2 portions, contains dairy, origin", Maple Pecan Energy Balls, Roasted Vegetable Wrap," Lentil Soup - 150kcals per portion, 6 portions"," Lentil curry - 200 calories per portion, 6 portions, contains gluten (India)
",brandona1d7
2,320.0,50.0,250.0,20.0,400.0," Apple cinnamon quinoa pancakes (320 calories per portion, 2 portions, nut-free, American origin)
", Baked Apple Chips - Approx, Mini Falafel Burgers, Moroccan Mint Tea," Vegetable biryani - 400 calories per portion, 6 portions, contains nuts (India)
",brandona1d7
3,300.0,80.0,100.0,20.0,300.0, Acai Bowl, Fresh Watermelon Slices - Approx, Asian cucumber salad, Moroccan Mint Tea," Lemon Garlic Butter Scallops - 300 calories per portion, 4 portions, contains shellfish, Origin",brandona1d7
4,250.0,100.0,90.0,120.0,300.0," Almond butter and banana smoothie (250kcals per portion, 1 portion, nut allergies)
", Mini Frittatas - Approx, Parmesan zucchini chips," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Quinoa Stuffed Mushrooms,brandona1d7
5,250.0,150.0,250.0,100.0,200.0, Vegan Pancake Skewers," Mini Spinach and Mushroom Quiches - 150kcals per portion, 2 portions
    Origin", Mango Coconut Chia Pudding, Israeli salad," Greek stuffed bell peppers - 200 calories per portion, 4 portions, none (Greece)
",brandona1d7
6,300.0,150.0,250.0,20.0,300.0, Egg Salad Sandwich, Vegan Chocolate Chip Cookies, Coconut chia pudding, Moroccan Mint Tea," Grilled vegetable skewers with couscous - 300 kcals per portion, 4 portions, vegetarian, contains gluten
",brandona1d7
7,300.0,180.0,220.0,100.0,300.0, Saffron Yogurt with Fruit, Fresh Berry Parfait, Banana bread muffins, Israeli salad, Eggplant Parmesan Sliders,brandona1d7
8,450.0,50.0,180.0,20.0,300.0," Smoked salmon and cream cheese bagel - 450 calories per portion, 1 portion, contains gluten and dairy, origin", Baked Apple Chips - Approx," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Moroccan Mint Tea," Chana masala - 300 calories per portion, 4 portions, contains nuts (India)
",brandona1d7
9,200.0,100.0,300.0,200.0,150.0, Spinach and Feta Stuffed Portobello Mushrooms, Fruit Salad, Mini Chicken Pot Pies, Vietnamese Vermicelli Salad, Caprese Salad,brandona1d7
0,500.0,0.0,0.0,20.0,350.0," Mexican churros with hot chocolate dipping sauce - 500 calories per portion, 2 portions, contains gluten, origin",N/A,N/A, Moroccan Mint Tea, Veggie Burger,tracyb79b
1,300.0,0.0,0.0,20.0,400.0," Greek yogurt parfait with mixed berries and honey (300kcals per portion, 1 portion, origin",N/A,N/A, Moroccan Mint Tea, Chickpea and Vegetable Tagine,tracyb79b
2,400.0,0.0,0.0,150.0,200.0, Vegan Breakfast Hash,N/A,N/A," Lentil Soup - 150 calories
   - Total portions"," Indian Vegetable Samosas - 200 calories/portion, 4 portions, contains gluten (India)
",tracyb79b
3,250.0,0.0,0.0,20.0,300.0, Vegan Pancake Skewers,N/A,N/A, Moroccan Mint Tea, Lentil and Vegetable Curry,tracyb79b
4,400.0,0.0,0.0,20.0,200.0, Breakfast Bibimbap,N/A,N/A, Moroccan Mint Tea, Greek Salad,tracyb79b
5,200.0,0.0,0.0,20.0,350.0, Veggie Breakfast Fritters,N/A,N/A, Moroccan Mint Tea," Thai Red Curry with Vegetables - 350 calories per portion, 4 portions, contains shellfish (fish sauce), Origin",tracyb79b
6,400.0,0.0,0.0,150.0,260.0, Nutella Banana Croissant,N/A,N/A, Spanish Gazpacho," Greek Style Green Beans - 260kcals per portion, 4 portions
",tracyb79b
7,400.0,0.0,0.0,120.0,356.0, Vegan Breakfast Nachos - 400 calories per portion | 1 portion | Contains soy | Origin,N/A,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Vegan Miso Ramen,tracyb79b
8,300.0,0.0,0.0,100.0,250.0," Baked beans on toast - 300 calories per portion, 2 portions, contains gluten, origin",N/A,N/A, Israeli salad, Tofu and Vegetable Kebabs,tracyb79b
9,250.0,0.0,0.0,20.0,200.0," Shakarkandi ki chaat (Indian sweet potato salad) - 250 calories per portion, 2 portions, no allergic warnings, origin",N/A,N/A, Moroccan Mint Tea," Greek Veggie Skewers - 200 calories/portion, 4 portions, Origin",tracyb79b
