title|raw_text|meal_type|cultural_restriction|calories|allergies|recipeId|ingredients|preparation|Carbohydrates|Protein|Fat|Fiber
"6. **baleadas (honduras) - breakfast/lunch**
   "|"6. **Baleadas (Honduras) - Breakfast/Lunch**
   Ingredients:
   - Flour tortillas
   - Refried beans
   - Grated cheese (queso duro)
   - Scrambled eggs
   - Avocado

   Preparation:
   1. Heat tortillas on a pan until warm.
   2. Spread a layer of refried beans on each tortilla.
   3. Add scrambled eggs, cheese, and slices of avocado on top.
   4. Fold the tortilla in half to enclose the fillings.
   
   Nutritional Information per 100g:
   - Calories: 300
   - Carbohydrates: 30g
   - Protein: 12g
   - Fat: 15g
   - Fiber: 2g"|breakfast|None|15|||"ingredients:
   - flour tortillas
   - refried beans
   - grated cheese (queso duro)
   - scrambled eggs
   - avocado

   "||100|300|30|12
"7. **hilachas (guatemala) - lunch/dinner**
   "|"7. **Hilachas (Guatemala) - Lunch/Dinner**
   Ingredients:
   - 500g shredded beef
   - 6 cups water
   - 2 potatoes, peeled and diced
   - 2 tomatoes, diced
   - 1 bell pepper, diced
   - 1 onion, diced
   - 2 cloves garlic, minced
   - 1 teaspoon dried oregano
   - Salt and pepper to taste

   Preparation:
   1. Cook the beef in water until tender and shred it.
   2. In a pot, combine the beef with potatoes, tomatoes, bell pepper, onion, garlic, oregano, salt, and pepper.
   3. Simmer until the potatoes are tender and the sauce thickens.

   Nutritional Information per 100g:
   - Calories: 92
   - Carbohydrates: 9g
   - Protein: 11g
   - Fat: 2g
   - Fiber: 1.5g"|lunch|None|2|||"ingredients:
   - 500g shredded beef
   - 6 cups water
   - 2 potatoes, peeled and diced
   - 2 tomatoes, diced
   - 1 bell pepper, diced
   - 1 onion, diced
   - 2 cloves garlic, minced
   - 1 teaspoon dried oregano
   - salt and pepper to taste

   "||100|92|9|11
"8. **enchiladas (honduras) - lunch**
   "|"8. **Enchiladas (Honduras) - Lunch**
   Ingredients:
   - Corn tortillas
   - 2 cups ground beef or chicken, cooked
   - 1 onion, diced
   - 1 cup tomato sauce
   - Lettuce, shredded
   - Cheese, grated
   - Sour cream

   Preparation:
   1. Fry the tortillas lightly in oil until just crispy.
   2. Top each tortilla with meat, tomato sauce, lettuce, cheese, and a dollop of sour cream.

   Nutritional Information per 100g:
   - Calories: 210
   - Carbohydrates: 14g
   - Protein: 13g
   - Fat: 12g
   - Fiber: 2g"|lunch|None|12|||"ingredients:
   - corn tortillas
   - 2 cups ground beef or chicken, cooked
   - 1 onion, diced
   - 1 cup tomato sauce
   - lettuce, shredded
   - cheese, grated
   - sour cream

   "||100|210|14|13
"9. **arroz con pollo (panama) - lunch/dinner**
   "|"9. **Arroz con Pollo (Panama) - Lunch/Dinner**
   Ingredients:
   - 2 cups rice
   - 500g chicken pieces
   - 1 onion, chopped
   - 1 red bell pepper, chopped
   - 2 garlic cloves, minced
   - 1/2 cup green peas
   - 3 cups chicken broth
   - 1 teaspoon ground turmeric or achiote
   - Salt and pepper to taste

   Preparation:
   1. Brown the chicken in a pan and set aside.
   2. In the same pan, sauté onions, bell pepper, and garlic.
   3. Add rice and cook until lightly toasted.
   4. Return the chicken to the pan, add broth, turmeric, salt, and pepper.
   5. Bring to a boil, then reduce heat, cover, and simmer until the rice is cooked and the liquid is absorbed.
   6. Stir in the peas and cook until heated through.

   Nutritional Information per 100g:
   - Calories: 165
   - Carbohydrates: 25g
   - Protein: 8g
   - Fat: 3.5g
   - Fiber: 1g"|lunch|None|3.5|||"ingredients:
   - 2 cups rice
   - 500g chicken pieces
   - 1 onion, chopped
   - 1 red bell pepper, chopped
   - 2 garlic cloves, minced
   - 1/2 cup green peas
   - 3 cups chicken broth
   - 1 teaspoon ground turmeric or achiote
   - salt and pepper to taste

   "||100|165|25|8
"10. **salpicón (guatemala) - lunch**
    "|"10. **Salpicón (Guatemala) - Lunch**
    Ingredients:
    - 500g minced beef
    - 1 onion, chopped
    - 1 bell pepper, chopped
    - 1 tomato, chopped
    - Juice of 1 lime
    - Fresh mint, chopped
    - Salt and pepper to taste

    Preparation:
    1. Cook the beef with salt and pepper until browned.
    2. Mix the cooked beef with onions, bell pepper, tomato, lime juice, and mint.

    Nutritional Information per 100g:
    - Calories: 112
    - Carbohydrates: 7g
    - Protein: 13g
    - Fat: 4g
    - Fiber: 1g"|lunch|None|4|||"ingredients:
    - 500g minced beef
    - 1 onion, chopped
    - 1 bell pepper, chopped
    - 1 tomato, chopped
    - juice of 1 lime
    - fresh mint, chopped
    - salt and pepper to taste

    "||100|112|7|13
"11. **tamalitos de elote (guatemala) - breakfast/lunch**
    "|"11. **Tamalitos de Elote (Guatemala) - Breakfast/Lunch**
    Ingredients:
    - 4 cups fresh corn kernels
    - 1/2 cup butter
    - 1/3 cup sugar
    - 1/2 teaspoon salt
    - Banana leaves for wrapping

    Preparation:
    1. Puree the corn kernels in a blender.
    2. Mix in butter, sugar, and salt until well combined.
    3. Spoon the mixture onto banana leaves, fold and tie into parcels.
    4. Steam the parcels for about 30-40 minutes, until set.

    Nutritional Information per 100g:
    - Calories: 174
    - Carbohydrates: 27g
    - Protein: 2g
    - Fat: 7g
    - Fiber: 2g"|breakfast|None|7|||"ingredients:
    - 4 cups fresh corn kernels
    - 1/2 cup butter
    - 1/3 cup sugar
    - 1/2 teaspoon salt
    - banana leaves for wrapping

    "||100|174|27|2
"12. **desayuno chapín (guatemala) - breakfast**
    "|"12. **Desayuno Chapín (Guatemala) - Breakfast**
    Ingredients:
    - 2 eggs, fried or scrambled
    - Refried black beans
    - Plantains, fried
    - Queso fresco
    - Cream
    - Tortillas

    Preparation:
    1. Prepare each component separately: fry eggs, warm refried beans, fry slices of plantains, crumble cheese, and warm tortillas.
    2. Serve everything on a plate with a dollop of cream.

    Nutritional Information per 100g:
    - Calories: 180
    - Carbohydrates: 19g
    - Protein: 8g
    - Fat: 8g
    - Fiber: 2g"|breakfast|None|8|||"ingredients:
    - 2 eggs, fried or scrambled
    - refried black beans
    - plantains, fried
    - queso fresco
    - cream
    - tortillas

    "||100|180|19|8
"13. **riguas (el salvador) - lunch/dinner**
    "|"13. **Riguas (El Salvador) - Lunch/Dinner**
    Ingredients:
    - 4 cups of fresh ground corn
    - 1/2 cup of sugar
    - 1/4 cup of milk
    - 1 leaf of plantain
    - Margarine to taste

    Preparation:
    1. Mix ground corn with milk and sugar.
    2. Put a spoonful of the dough mixture on the plantain leaf.
    3. Wrap and grill it on both sides until it is well cooked.

    Nutritional Information per 100g:
    - Calories: 117
    - Carbohydrates: 24g
    - Protein: 3g
    - Fat: 2g
    - Fiber: 2g"|lunch|None|2|||"ingredients:
    - 4 cups of fresh ground corn
    - 1/2 cup of sugar
    - 1/4 cup of milk
    - 1 leaf of plantain
    - margarine to taste

    "||100|117|24|3
"14. **tres leches cake (nicaragua) - dessert**
    "|"14. **Tres Leches Cake (Nicaragua) - Dessert**
    Ingredients:
    - 1 cup all-purpose flour
    - 1 1/2 teaspoon baking powder
    - 1/4 teaspoon salt
    - 5 eggs, separated
    - 1 cup sugar
    - 1/3 cup milk
    - 1/2 teaspoon vanilla extract

    For the milk syrup:
    - 1 can evaporated milk
    - 1 can sweetened condensed milk
    - 1/4 cup heavy cream

    Preparation:
    1. Preheat oven to 350°F (175°C).
    2. Sift together the flour, baking powder, and salt.
    3. Beat egg whites until peaks form, gradually add sugar, then egg yolks one by one.
    4. Add the flour mixture alternately with milk.
    5. Pour batter into a greased baking pan and bake for 25-30 minutes.
    6. Combine the three kinds of milk for the syrup.
    7. Once the cake is cool, pierce it with a fork and pour the milk syrup over it.
    8. Let the cake absorb the syrup and refrigerate before serving.

    Nutritional Information per 100g:
    - Calories: 324
    - Carbohydrates: 50g
    - Protein: 7g
    - Fat: 10g
    - Fiber: 0g"|breakfast;lunch;diner|None|10|||"ingredients:
    - 1 cup all-purpose flour
    - 1 1/2 teaspoon baking powder
    - 1/4 teaspoon salt
    - 5 eggs, separated
    - 1 cup sugar
    - 1/3 cup milk
    - 1/2 teaspoon vanilla extract

    for the milk syrup:
    - 1 can evaporated milk
    - 1 can sweetened condensed milk
    - 1/4 cup heavy cream

    "||100|324|50|7
"15. **yuca con chicharrón (el salvador) - lunch/dinner**
    "|"15. **Yuca Con Chicharrón (El Salvador) - Lunch/Dinner**
    Ingredients:
    - 500g yuca, peeled and cut into chunks
    - 250g chicharrón (fried pork rind)
    - 1/2 small cabbage, shredded
    - 2 tomatoes, chopped
    - 1/2 cup vinegar
    - 1 teaspoon dried oregano
    - Salt to taste

    Preparation:
    1. Boil yuca in salted water until fork tender, then drain.
    2. Toss cabbage with tomatoes, vinegar, oregano, and salt to create a simple slaw.
    3. Serve boiled yuca topped with chicharrón and accompanied by the slaw.

    Nutritional Information per 100g:
    - Calories: 202
    - Carbohydrates: 20g
    - Protein: 7g
    - Fat: 11g
    - Fiber: 1.7g

Please note that these nutritional values are estimates and may vary depending on the portion size, specific ingredients, and preparation methods used. If you require accurate nutritional information, you may need to calculate it based on the exact brands and quantities of ingredients you use. Additionally, these dishes can often be adapted to suit breakfast, lunch, or dinner based on personal preference, though I've indicated the traditional mealtime for each."|breakfast|None|202|||"ingredients:
    - 500g yuca, peeled and cut into chunks
    - 250g chicharrón (fried pork rind)
    - 1/2 small cabbage, shredded
    - 2 tomatoes, chopped
    - 1/2 cup vinegar
    - 1 teaspoon dried oregano
    - salt to taste

    "||20|7|11|1.7
"1. gallo pinto (costa rica/nicaragua)
   * suitable for breakfast or dinner
   
"|"1. Gallo Pinto (Costa Rica/Nicaragua)
   * Suitable for breakfast or dinner
   
Ingredients:
- 1 cup cooked black beans
- 2 cups cooked white rice
- 1 medium onion, chopped
- 1 bell pepper, chopped
- 2 cloves garlic, minced
- 2 tablespoons fresh cilantro, chopped
- 2 tablespoons vegetable oil
- Salt and pepper to taste

Preparation:
1. In a pan, heat the oil over medium-high heat. Sauté the onion, bell pepper, and garlic until they are soft.
2. Add the cooked black beans with a bit of their liquid and let simmer for a few minutes.
3. Stir in the cooked rice and mix until all ingredients are well combined.
4. Season with salt and pepper, and garnish with fresh cilantro before serving.

Nutritional information per 100g (approximate):
- Carbohydrates: 21.0g
- Protein: 4.5g
- Fat: 2.0g
- Fiber: 3.0g
- Calories: 120 kcal"|breakfast|None|3.0|||"ingredients:
- 1 cup cooked black beans
- 2 cups cooked white rice
- 1 medium onion, chopped
- 1 bell pepper, chopped
- 2 cloves garlic, minced
- 2 tablespoons fresh cilantro, chopped
- 2 tablespoons vegetable oil
- salt and pepper to taste

"||100|21.0|4.5|2.0
"2. pupusas (el salvador)
   * suitable for breakfast, lunch, or dinner

"|"2. Pupusas (El Salvador)
   * Suitable for breakfast, lunch, or dinner

Ingredients:
- 2 cups masa harina (cornflour)
- 1 ½ cups water
- 1 cup quesillo or mozzarella cheese, shredded
- 1 cup refried beans
- Vegetable oil for frying

Preparation:
1. Combine masa harina with water and knead until you have a smooth dough. Let it rest for 10 minutes.
2. Form the dough into balls and flatten each ball into a disc.
3. Place a spoonful of cheese and refried beans in the center of each disc.
4. Fold and seal the edges, then gently flatten the ball into a thick tortilla shape.
5. Cook on a hot comal or skillet until golden brown on both sides, approximately 3 minutes per side.

Nutritional information per 100g (approximate):
- Carbohydrates: 35.5g
- Protein: 8.4g
- Fat: 6.9g
- Fiber: 3.1g
- Calories: 233 kcal"|breakfast|None|3.1|||"ingredients:
- 2 cups masa harina (cornflour)
- 1 ½ cups water
- 1 cup quesillo or mozzarella cheese, shredded
- 1 cup refried beans
- vegetable oil for frying

"||100|35.5|8.4|6.9
"3. tamales (guatemala)
   * suitable for lunch or dinner

"|"3. Tamales (Guatemala)
   * Suitable for lunch or dinner

Ingredients:
- 2 cups masa harina
- 1 cup chicken broth
- ½ cup lard or vegetable shortening
- 1 teaspoon baking powder
- Salt to taste
- 2 cups of shredded cooked chicken
- 1 cup tomato sauce
- Banana leaves or aluminum foil for wrapping

Preparation:
1. Mix masa harina with chicken broth, lard, baking powder, and salt until you have a soft dough.
2. Spread a spoonful of dough in the center of a banana leaf or foil.
3. Place some shredded chicken and tomato sauce on top of the dough.
4. Fold the banana leaf or foil to enclose the filling and create a package.
5. Steam the tamales for about 60 minutes or until the dough is firm and cooked through.

Nutritional information per 100g (approximate):
- Carbohydrates: 18.2g
- Protein: 7.4g
- Fat: 11.3g
- Fiber: 1.9g
- Calories: 210 kcal"|lunch|None|1.9|||"ingredients:
- 2 cups masa harina
- 1 cup chicken broth
- ½ cup lard or vegetable shortening
- 1 teaspoon baking powder
- salt to taste
- 2 cups of shredded cooked chicken
- 1 cup tomato sauce
- banana leaves or aluminum foil for wrapping

"||100|18.2|7.4|11.3
"4. baleadas (honduras)
   * suitable for breakfast or dinner

"|"4. Baleadas (Honduras)
   * Suitable for breakfast or dinner

Ingredients:
- 2 cups all-purpose flour
- ½ cup water
- ½ teaspoon salt
- 1 tablespoon vegetable oil
- 1 cup refried red beans
- 1 cup grated cheese (queso duro or feta)
- Additional toppings as desired, such as avocado or scrambled eggs

Preparation:
1. Combine flour, water, salt, and oil to form a soft dough. Let it rest for 20 minutes.
2. Divide the dough into portions and roll out into thin tortillas.
3. Cook each tortilla on a hot comal or skillet until puffed and lightly browned.
4. Spread refried beans on one half of the tortilla, sprinkle with cheese, and fold in half.
5. Serve with additional toppings if desired.

Nutritional information per 100g (approximate):
- Carbohydrates: 39.2g
- Protein: 9.4g
- Fat: 5.2g
- Fiber: 3.5g
- Calories: 249 kcal"|breakfast|None|3.5|||"ingredients:
- 2 cups all-purpose flour
- ½ cup water
- ½ teaspoon salt
- 1 tablespoon vegetable oil
- 1 cup refried red beans
- 1 cup grated cheese (queso duro or feta)
- additional toppings as desired, such as avocado or scrambled eggs

"||100|39.2|9.4|5.2
"5. yuca con chicharrón (el salvador)
   * suitable for lunch or dinner

"|"5. Yuca con Chicharrón (El Salvador)
   * Suitable for lunch or dinner

Ingredients:
- 2 cups yuca (cassava), peeled and cut into pieces
- 1 cup cooked chicharrón (pork rinds), roughly chopped
- 1 small onion, sliced
- 2 tablespoons vegetable oil
- 1 lime, juiced
- Cabbage salad (curtido) as a side (made with shredded cabbage, carrots, vinegar, and oregano)

Preparation:
1. Boil yuca in salted water until tender, about 15 minutes, then drain.
2. In a pan, heat oil over medium heat and sauté onion until translucent.
3. Add the cooked yuca to the pan and fry until the edges begin to turn golden.
4. Mix in the chopped chicharrón and cook for an additional few minutes.
5. Drizzle with lime juice and serve with curtido on the side.

Nutritional information per 100g (approximate):
- Carbohydrates: 29.1g
- Protein: 1.8g
- Fat: 8.4g
- Fiber: 1.7g
- Calories: 193 kcal"|lunch|None|1.7|||"ingredients:
- 2 cups yuca (cassava), peeled and cut into pieces
- 1 cup cooked chicharrón (pork rinds), roughly chopped
- 1 small onion, sliced
- 2 tablespoons vegetable oil
- 1 lime, juiced
- cabbage salad (curtido) as a side (made with shredded cabbage, carrots, vinegar, and oregano)

"||100|29.1|1.8|8.4
"6. rellenitos de plátano (guatemala)
   * suitable for lunch or as a sweet snack

"|"6. Rellenitos de Plátano (Guatemala)
   * Suitable for lunch or as a sweet snack

Ingredients:
- 4 ripe plantains, peeled
- 1 cup refried black beans, sweetened
- Vegetable oil for frying
- Sugar and cinnamon for garnish

Preparation:
1. Boil the plantains until tender, then mash until smooth.
2. Take a portion of mashed plantain and form a ball. Make an indentation and fill it with sweetened beans.
3. Close and shape it into an oval.
4. Deep fry the rellenitos in hot oil until they are a dark golden brown.
5. Drain on paper towels, sprinkle with sugar and cinnamon, and serve.

Nutritional information per 100g (approximate):
- Carbohydrates: 37.5g
- Protein: 1.5g
- Fat: 4.5g
- Fiber: 2.3g
- Calories: 192 kcal"|lunch|None|2.3|||"ingredients:
- 4 ripe plantains, peeled
- 1 cup refried black beans, sweetened
- vegetable oil for frying
- sugar and cinnamon for garnish

"||100|37.5|1.5|4.5
