,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
7,300.0,200.0,0.0,120.0,250.0, Chia Seed Pancakes, Red Pepper and Tomato Soup,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
"," Black Bean Enchiladas - 250 calories per portion, 3 portions, may contain gluten",alan936d
8,300.0,70.0,0.0,150.0,260.0, Sweet Potato Hash Browns, Fresh Fruit Salad,N/A, Spinach and mushroom omelet, Mexican Stuffed Zucchini,alan936d
9,250.0,150.0,0.0,120.0,220.0, Spinach and Mushroom Oatmeal, Vegan Pumpkin Muffins,N/A," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
", Chickpea and Vegetable Stir Fry,alan936d
0,150.0,150.0,100.0,20.0,370.0, Chia Pudding, Vegan Chocolate Chip Cookies," Deviled Eggs - 100 kcals per portion, 4 portions, contains egg (USA)", Moroccan Mint Tea," Quinoa-Stuffed Butternut Squash - 370kcals per portion, 4 portions
",megan8f50
1,450.0,300.0,230.0,20.0,400.0, Spinach and Feta Breakfast Wrap, Peanut Butter and Jelly Rice Cakes, Peanut Butter and Banana Wrap, Moroccan Mint Tea, Black Bean Enchiladas,megan8f50
2,500.0,80.0,150.0,150.0,320.0," Vietnamese banh mi sandwich with eggs, pickled carrots, and cilantro (500kcals per portion, 2 portions, origin", Fresh Squeezed Orange Juice, Vegetable Frittata," Grilled Vegetable Skewers - 150kcals per portion, 4 portions", Chickpea Salad Sandwich,megan8f50
3,400.0,250.0,200.0,20.0,450.0," Quinoa porridge with coconut milk - 400 calories per portion, 2 portions, no allergic warnings, origin", Caramelized Onion and Feta Tartlets - Approx, Stuffed Eggplant, Moroccan Mint Tea," Mushroom Risotto - 450 calories/portion, 4 portions, contains garlic and dairy (Italy)
",megan8f50
4,200.0,100.0,80.0,20.0,200.0, Banana Pancakes, Stuffed Dates - Approx, Shrimp ceviche, Moroccan Mint Tea," Caprese Salad - 200 calories per portion, 4 portions, contains dairy (cheese), Origin",megan8f50
5,350.0,220.0,160.0,20.0,250.0," Lemon poppy seed pancakes (350 calories per portion, 2 portions, nut-free, American origin)
", Vegan Granola with Almond Milk, Cucumber and Cream Cheese Bites, Moroccan Mint Tea," Jackfruit Tacos - 250 calories per portion, 4 portions, None, Mexico

",megan8f50
6,250.0,150.0,240.0,20.0,350.0, Avocado Toast, Sweet Berry Bruschetta - Approx, Greek Stuffed Grape Leaves, Moroccan Mint Tea, Mexican Quinoa Casserole,megan8f50
7,450.0,50.0,180.0,20.0,350.0," Bagel with cream cheese and smoked salmon - 450 calories per portion, 1 portion, contains gluten and dairy, origin"," Homemade Fruit Popsicles - 50kcals per portion, 2 portions
    Origin", Homemade Veggie Pizza Rolls, Moroccan Mint Tea," Butternut squash and lentil curry - 350 calories per portion, 4 portions, contains nuts (India)
",megan8f50
8,300.0,150.0,400.0,20.0,450.0, Vegan Coconut Chia Pancakes - 300 calories per portion | 1 portion | Contains gluten | Origin, Greek Yogurt with Berries, Vegan Tzatziki and Pita Bread, Moroccan Mint Tea, Lebanese Kafta Kebabs,megan8f50
9,250.0,100.0,80.0,120.0,400.0, Vegan Berry Chia Smoothie - 250 calories per portion | 2 portions | None | Origin," Rice Cake with Almond Butter - 100kcals per portion, 2 portions
    Origin", Stuffed Dates with Almond Butter," Greek Salad - 120kcals per portion, 4 portions, lactose-free, Greece
", Veggie Lo Mein,megan8f50
