,breakfast_calories,morning snacks_calories,afternoon snacks_calories,lunch_calories,dinner_calories,breakfast,morning snacks,afternoon snacks,lunch,dinner,userId
4,150.0,350.0,0.0,330.0,120.0, Fruit Salad, Veggie Quesadilla,N/A," Lentil and Rice Soup - 330kcals per portion, 4 portions, contains legumes
"," Grilled vegetable skewers - 120 calories per portion, 4 portions, none
",cassandra8a95
5,50.0,200.0,0.0,300.0,250.0, Vegan Breakfast Stuffed Tomatoes, Greek Yogurt with Honey and Berries,N/A, Chickpea Spinach Stew," Stuffed Butternut Squash - 250 calories/portion, 4 portions, Origin",cassandra8a95
6,350.0,300.0,0.0,250.0,80.0, Vegan Chocolate Peanut Butter Smoothie - 350 calories per portion | 1 portion | Contains nuts | Origin, Smoothie Bowl,N/A, Vegan Moroccan Couscous," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",cassandra8a95
7,200.0,190.0,0.0,250.0,200.0, Blueberry Almond Baked Oatmeal, Apple Cinnamon Muffins,N/A, Vegan Mushroom Risotto," Falafel with tahini sauce - 200 calories per portion, 4 portions, contains gluten (Middle East)
",cassandra8a95
8,100.0,300.0,0.0,650.0,150.0, Vegan Breakfast Rice Pudding, Vegan Chocolate Banana Bread,N/A, Chickpea Curry, Lentil Soup,cassandra8a95
9,200.0,150.0,0.0,400.0,80.0, Mexican Black Bean Breakfast Wrap, Roasted Vegetable Skewers,N/A, Thai Red Curry with Vegetables," Spinach and feta stuffed mushrooms - 80 calories per portion, 6 portions, contains dairy (Greece)
",cassandra8a95
0,150.0,0.0,0.0,350.0,120.0, Vegan Energy Balls - 150 calories per portion | 2 portions | Contains nuts | Origin,N/A,N/A, Vegan Argentinian Chimichurri Grilled Vegetables, Cucumber and Tomato Salad,daniel8c99
1,300.0,0.0,0.0,200.0,150.0, Vegan Breakfast Tacos - 300 calories per portion | 2 portions | None | Origin,N/A,N/A," Spanish Gazpacho
Total calories per portion"," Ratatouille - 150 calories per portion, 6 portions, None, France
",daniel8c99
2,250.0,0.0,0.0,300.0,220.0, Vegan Coconut Yogurt with Fruit - 250 calories per portion | 1 portion | None | Origin,N/A,N/A," Vegan Italian Bruschetta
Total calories per portion", Lentil Soup with Quinoa,daniel8c99
3,300.0,0.0,0.0,150.0,220.0, Vegan Breakfast Potato Hash - 300 calories per portion | 1 portion | None | Origin,N/A,N/A, Tomato Basil Soup, Quinoa and Vegetable Stir Fry,daniel8c99
4,250.0,0.0,0.0,450.0,120.0, Vegan Matcha Overnight Oats - 250 calories per portion | 2 portions | None | Origin,N/A,N/A," Vegan Stuffed Cabbage Rolls
Total calories per portion", Cucumber and Tomato Salad,daniel8c99
5,100.0,0.0,0.0,300.0,240.0, Vegan Breakfast Rice Pudding,N/A,N/A, Lentil and Spinach Curry, Vegetable Fried Rice,daniel8c99
6,150.0,0.0,0.0,250.0,220.0, Chia Pudding - 150 calories per portion | 1 portion | None | Origin,N/A,N/A, Vegan Mushroom Risotto, Chickpea Salad,daniel8c99
7,250.0,0.0,0.0,350.0,120.0, Vegan Breakfast Crepes,N/A,N/A, Vegan Tofu Satay Skewers, Cucumber and Tomato Salad,daniel8c99
8,250.0,0.0,0.0,350.0,160.0, Vegan Chocolate Chia Seed Pudding - 250 calories per portion | 2 portions | None | Origin,N/A,N/A, Vegan Argentinian Chimichurri Grilled Vegetables," Vegan Quinoa and Kale Salad - 160 calories per portion, 2 portions, may contain gluten",daniel8c99
9,250.0,0.0,0.0,250.0,246.0, Vegan Breakfast Shakshuka,N/A,N/A, Vegan Korean Japchae, Vegan Teriyaki Tofu,daniel8c99
0,350.0,90.0,200.0,150.0,0.0, Chocolate Banana Smoothie Bowl, Vegetarian Spring Rolls, Mango Salsa with Chips, Cabbage Stir-Fry,N/A,laurabbc9
1,400.0,70.0,80.0,350.0,0.0, Strawberry Banana Pancakes, Fresh Fruit Salad, Asian Cucumber Salad, Chickpea and Vegetable Stew,N/A,laurabbc9
2,350.0,300.0,250.0,150.0,0.0, Vegan Breakfast Polenta - 350 calories per portion | 1 portion | None | Origin, Coconut Chia Pudding with Mixed Berries, Stuffed Avocado with Quinoa, Cabbage Stir-Fry,N/A,laurabbc9
3,300.0,150.0,250.0,150.0,0.0, Vegan Granola - 300 calories per portion | 1 portion | Contains nuts | Origin, Vegan Raspberry Thumbprint Cookies, Veggie Quesadillas, Spinach and mushroom frittata,N/A,laurabbc9
4,400.0,210.0,150.0,300.0,0.0, Veggie Sausage Breakfast Sandwich, Spinach and Cheese Pinwheels," Zucchini Fritters - 150 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Jamaican Jerk Tofu,N/A,laurabbc9
5,400.0,150.0,90.0,120.0,0.0, Vegan Breakfast Stuffed Sweet Potatoes - 400 calories per portion | 1 portion | None | Origin, Green Smoothie," Roasted Brussels Sprouts with Balsamic Glaze - 90 kcals per portion, 4 portions, no allergic warnings, origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
",N/A,laurabbc9
6,300.0,100.0,220.0,410.0,0.0, Veggie Bagel Sandwich, Tomato Basil Bruschetta, Tomato and Mozzarella Stuffed Portobello Mushrooms," Greek Pasta Salad - 410kcals per portion, 2 portions, contains gluten, dairy (Greece)
",N/A,laurabbc9
7,250.0,100.0,280.0,200.0,0.0, Smoothie Bowl, Carrot Sticks with Ranch Dip, Greek Spinach Pie," Quinoa-Stuffed Mushrooms - 200kcals per portion, 2 portions, gluten-free
",N/A,laurabbc9
8,350.0,180.0,380.0,350.0,0.0, Veggie Omelette, Vegan Zucchini Bread, Vegan Chocolate Chip Cookies, Chickpea and Vegetable Stew,N/A,laurabbc9
9,300.0,80.0,180.0,120.0,0.0, Greek Yogurt Parfait, Apple with Cinnamon," Baked Falafel Salad - 180 kcals per portion, 4 portions, allergic warning (sesame), origin"," Caprese Salad - 120kcals per portion, 2 portions, contains dairy (Italy)
",N/A,laurabbc9
0,50.0,100.0,160.0,350.0,0.0, Vegan Breakfast Smoothie, Chilled Gazpacho," Vegan Spinach and Artichoke Stuffed Mushrooms - 160 kcals per portion, 4 portions, no allergic warnings, origin", Vegan Tacos,N/A,shannon9d07
1,250.0,160.0,130.0,150.0,0.0, Vegan Breakfast Oats and Berries, Edamame Hummus and Rice Cakes," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Tom Yum Soup,N/A,shannon9d07
2,250.0,80.0,180.0,400.0,0.0, Vegan Raspberry Almond Scones - 250 calories per portion | 2 portions | Contains gluten and nuts | Origin, Fruit Salad," Quinoa Stuffed Bell Peppers - 180 kcals per portion, 4 portions, no allergic warnings, origin", Roasted Veggie Pasta,N/A,shannon9d07
3,300.0,100.0,130.0,300.0,0.0, Vegan Breakfast Spring Rolls - 300 calories per portion | 1 portion | Contains soy | Origin, Chilled Gazpacho," Stuffed Mini Portobello Mushrooms - 130 kcals per portion, 4 portions, no allergic warnings, origin", Quinoa and Roasted Veggie Salad,N/A,shannon9d07
4,150.0,90.0,480.0,250.0,0.0, Vegan Breakfast Fajitas, Stuffed Dates, Spinach and Mushroom Quesadillas, Vegan Lentil Salad,N/A,shannon9d07
5,150.0,90.0,180.0,400.0,0.0, Vegan Pancakes, Quinoa Energy Bites," Vegan Banana Bread - 180 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Bibimbap,N/A,shannon9d07
6,200.0,200.0,120.0,350.0,0.0, Vegan Green Smoothie - 200 calories per portion | 2 portions | None | Origin, Vegan Granola Bars," Vegan Spinach and Mushroom Frittata - 120 kcals per portion, 4 portions, no allergic warnings, origin", Chickpea Salad Sandwich,N/A,shannon9d07
7,300.0,80.0,100.0,150.0,0.0, Berry Quinoa Breakfast Bowl - 300 calories per portion | 1 portion | Contains nuts | Origin, Stuffed Dates," Vegan Mushroom Soup - 100 kcals per portion, 4 portions, no allergic warnings, origin", Veggie Spring Rolls,N/A,shannon9d07
8,100.0,80.0,320.0,150.0,0.0, Vegan Breakfast Steamed Buns, Stuffed Dates, Vegan Mediterranean Flatbread Pizza, Cabbage Stir-Fry,N/A,shannon9d07
9,250.0,280.0,100.0,350.0,0.0, Vegan Maple Pecan Overnight Oats - 250 calories per portion | 2 portions | Contains nuts | Origin, Vegan Protein Pancakes," Roasted Garlic Hummus with Veggie Sticks - 100 kcals per portion, 4 portions, no allergic warnings, origin"," Vegan Sweet and Sour Tofu
Total calories per portion",N/A,shannon9d07
